# compute-mfcc-feats --write-utt2dur=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/wav_spkrs.1.scp ark:- | copy-feats --write-num-frames=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2num_frames.1 --compress=true ark:- ark,scp:/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.ark,/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.scp 
# Started at Tue Feb 11 11:48:23 UTC 2020
#
copy-feats --write-num-frames=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2num_frames.1 --compress=true ark:- ark,scp:/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.ark,/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.scp 
compute-mfcc-feats --write-utt2dur=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/wav_spkrs.1.scp ark:- 
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_59_36
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_19_00_19
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_19_00_57
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_19_28_13
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_19_28_57
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_19_29_33
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_19_30_16
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_19_34_51
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_19_35_31
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 40 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_19_35_58
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_19_36_32
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_23_09_29_16
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_23_09_29_35
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_23_13_36_13
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_37_42
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_37_59
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_38_27
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_38_41
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_39_01
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 50 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_39_19
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_39_34
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_39_51
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_40_07
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_40_24
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_40_37
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_54_19
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_54_44
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_55_00
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_55_18
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 60 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_55_38
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_56_03
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_56_20
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_15_56_40
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_16_01_10
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_16_07_03
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_16_09_58
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_16_19_44
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_16_20_50
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_16_46_02
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 70 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_16_47_50
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_16_55_19
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_11_08_18_38_14
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_18_14_39_10_1
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_18_14_39_10_2
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_18_14_39_10_3
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_18_14_39_11_4
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_18_14_39_36
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_13_34
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_14_15
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 80 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_14_40
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_15_03
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_15_30
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_15_42
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_15_57
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_16_12
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_16_38
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_16_56
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_17_39
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_17_56
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 90 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_18_14
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_19_15
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_16_20_15
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_37_07
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_37_22
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_37_41
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_43_07
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_43_58
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_45_07
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_46_28
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 100 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_48_22
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_48_36
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_49_27
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_50_27
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_51_38
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_52_23
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_53_21
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_54_06
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_54_23
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_55_12
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 110 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_55_55
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_56_54
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_58_06
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_59_03
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_18_59_49
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_00_48
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_01_37
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_03_38
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_04_21
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_05_11
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 120 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_06_01
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_07_18
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_08_07
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_08_45
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_09_35
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_10_59
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_10_22_19_11_42
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_08_07
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_11_54
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_12_17
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 130 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_14_48
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_30_13
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_33_37
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_36_28
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_39_56
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_43_13
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_43_35
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_45_34
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_45_57
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_47_33
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 140 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_49_14
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_51_03
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_53_54
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_55_34
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_57_38
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_16_59_29
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_17_01_27
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_17_03_25
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_17_04_59
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_17_06_31
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 150 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_17_06_50
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_17_08_13
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_17_09_57
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_11_08_17_11_25
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_05_13_50_39
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_05_13_51_59
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_17_14_34_06
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_17_14_34_18
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_17_14_35_06
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_17_14_35_45
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 160 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_08_43_58
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_08_44_39
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_11_54_33
